CNV_status	Region	Gene
Amp	3q26.32	LOC253573
Amp	3q26.32	NAALADL2
Amp	3q26.32	TCTEX1D2
Amp	3q26.32	C3orf43
Amp	3q26.32	SDHAP1
Amp	3q26.32	UTS2D
Amp	3q26.32	SLC9A9
Amp	3q26.32	HTR3E
Amp	3q26.32	IGSF10
Amp	3q26.32	C3orf33
Amp	3q26.32	C3orf70
Amp	3q26.32	TPRG1
Amp	3q26.32	TRIM59
Amp	3q26.32	CCDC39
Amp	3q26.32	LOC339894
Amp	3q26.32	LOC339926
Amp	3q26.32	LPP-AS2
Amp	3q26.32	LRRIQ4
Amp	3q26.32	SAMD7
Amp	3q26.32	AADACL2
Amp	3q26.32	GPR149
Amp	3q26.32	PAQR9
Amp	3q26.32	LOC344887
Amp	3q26.32	RTP2
Amp	3q26.32	OSTN
Amp	3q26.32	ATP13A5
Amp	3q26.32	SOX2-OT
Amp	3q26.32	WDR53
Amp	3q26.32	ANKRD18DP
Amp	3q26.32	LRRC33
Amp	3q26.32	PLSCR5
Amp	3q26.32	ANKUB1
Amp	3q26.32	LEKR1
Amp	3q26.32	TMEM212
Amp	3q26.32	LOC401093
Amp	3q26.32	C3orf80
Amp	3q26.32	FLJ46066
Amp	3q26.32	FLJ42393
Amp	3q26.32	FLJ34208
Amp	3q26.32	LOC401109
Amp	3q26.32	MIR15B
Amp	3q26.32	MIR16-2
Amp	3q26.32	SNORD2
Amp	3q26.32	SNORA4
Amp	3q26.32	TMEM14E
Amp	3q26.32	LOC646168
Amp	3q26.32	C3orf65
Amp	3q26.32	LOC646903
Amp	3q26.32	PA2G4P4
Amp	3q26.32	LOC647107
Amp	3q26.32	GMNC
Amp	3q26.32	LOC647323
Amp	3q26.32	IQCJ
Amp	3q26.32	SCARNA7
Amp	3q26.32	SNORA81
Amp	3q26.32	SNORD66
Amp	3q26.32	MIR551B
Amp	3q26.32	MIR569
Amp	3q26.32	MIR570
Amp	3q26.32	SDHAP2
Amp	3q26.32	FAM157A
Amp	3q26.32	LOC730091
Amp	3q26.32	MIR922
Amp	3q26.32	MIR944
Amp	3q26.32	LOC100128023
Amp	3q26.32	WWTR1-AS1
Amp	3q26.32	LOC100128164
Amp	3q26.32	LOC100131551
Amp	3q26.32	LOC100131635
Amp	3q26.32	SNAR-I
Amp	3q26.32	MIR1224
Amp	3q26.32	TIPARP-AS1
Amp	3q26.32	LOC100289361
Amp	3q26.32	MIR1248
Amp	3q26.32	MIR548H2
Amp	3q26.32	LOC100498859
Amp	3q26.32	MIR3919
Amp	3q26.32	IQCJ-SCHIP1
Amp	3q26.32	LOC100505687
Amp	3q26.32	MFI2-AS1
Amp	3q26.32	LOC100507086
Amp	3q26.32	LOC100507389
Amp	3q26.32	LOC100507391
Amp	3q26.32	ARHGEF26-AS1
Amp	3q26.32	LOC100507537
Amp	3q26.32	TM4SF19-TCTEX1D2
Amp	3q26.32	MIR4797
Amp	3q26.32	MIR4789
Amp	18q21.33	hsa-mir-122
Amp	18q21.33	BCL2
Amp	18q21.33	CDH7
Amp	18q21.33	CYB5A
Amp	18q21.33	DCC
Amp	18q21.33	FECH
Amp	18q21.33	KDSR
Amp	18q21.33	GALR1
Amp	18q21.33	GRP
Amp	18q21.33	LMAN1
Amp	18q21.33	SMAD4
Amp	18q21.33	MBP
Amp	18q21.33	MC4R
Amp	18q21.33	NARS
Amp	18q21.33	NFATC1
Amp	18q21.33	SERPINB2
Amp	18q21.33	ATP8B1
Amp	18q21.33	SERPINB5
Amp	18q21.33	SERPINB8
Amp	18q21.33	SERPINB10
Amp	18q21.33	SERPINB13
Amp	18q21.33	PMAIP1
Amp	18q21.33	RAB27B
Amp	18q21.33	SERPINB3
Amp	18q21.33	SERPINB4
Amp	18q21.33	TCF4
Amp	18q21.33	ZNF236
Amp	18q21.33	SERPINB7
Amp	18q21.33	TNFRSF11A
Amp	18q21.33	MBD2
Amp	18q21.33	CTDP1
Amp	18q21.33	SOCS6
Amp	18q21.33	TXNL1
Amp	18q21.33	ONECUT2
Amp	18q21.33	VPS4B
Amp	18q21.33	ZNF516
Amp	18q21.33	TSHZ1
Amp	18q21.33	CD226
Amp	18q21.33	MALT1
Amp	18q21.33	TXNL4A
Amp	18q21.33	POLI
Amp	18q21.33	ADNP2
Amp	18q21.33	PHLPP1
Amp	18q21.33	NEDD4L
Amp	18q21.33	WDR7
Amp	18q21.33	PIGN
Amp	18q21.33	RTTN
Amp	18q21.33	KCNG2
Amp	18q21.33	SALL3
Amp	18q21.33	CDH20
Amp	18q21.33	CDH19
Amp	18q21.33	TIMM21
Amp	18q21.33	RAX
Amp	18q21.33	ST8SIA3
Amp	18q21.33	MEX3C
Amp	18q21.33	TMX3
Amp	18q21.33	ZCCHC2
Amp	18q21.33	ZNF532
Amp	18q21.33	ZNF407
Amp	18q21.33	CNDP2
Amp	18q21.33	KIAA1468
Amp	18q21.33	CCDC102B
Amp	18q21.33	RBFA
Amp	18q21.33	PQLC1
Amp	18q21.33	CCDC68
Amp	18q21.33	NETO1
Amp	18q21.33	PARD6G
Amp	18q21.33	CNDP1
Amp	18q21.33	SERPINB12
Amp	18q21.33	SERPINB11
Amp	18q21.33	SEC11C
Amp	18q21.33	DSEL
Amp	18q21.33	ALPK2
Amp	18q21.33	FAM69C
Amp	18q21.33	STARD6
Amp	18q21.33	CCBE1
Amp	18q21.33	CBLN2
Amp	18q21.33	C18orf54
Amp	18q21.33	FBXO15
Amp	18q21.33	DOK6
Amp	18q21.33	RNF152
Amp	18q21.33	LINC00305
Amp	18q21.33	C18orf26
Amp	18q21.33	BOD1P
Amp	18q21.33	ZADH2
Amp	18q21.33	C18orf62
Amp	18q21.33	LOC284276
Amp	18q21.33	HMSD
Amp	18q21.33	LOC284294
Amp	18q21.33	LOC339298
Amp	18q21.33	CPLX4
Amp	18q21.33	ATP9B
Amp	18q21.33	LOC390858
Amp	18q21.33	LOC400654
Amp	18q21.33	LOC400655
Amp	18q21.33	LOC400657
Amp	18q21.33	MIR122
Amp	18q21.33	HSBP1L1
Amp	18q21.33	LOC643542
Amp	18q21.33	C18orf63
Amp	18q21.33	SNORA37
Amp	18q21.33	LOC100130522
Amp	18q21.33	LOC100131655
Amp	18q21.33	LOC100287225
Amp	18q21.33	LOC100505474
Amp	18q21.33	LOC100505549
Amp	18q21.33	LOC100505776
Amp	18q21.33	LOC100505817
Amp	18q21.33	MIR4529
Amp	18q21.33	MIR3591
Del	18q21.2	hsa-mir-122
Del	18q21.2	hsa-mir-4320
Del	18q21.2	hsa-mir-1539
Del	18q21.2	DCC
Del	18q21.2	FECH
Del	18q21.2	GRP
Del	18q21.2	LMAN1
Del	18q21.2	SMAD4
Del	18q21.2	SMAD7
Del	18q21.2	MBD1
Del	18q21.2	MC4R
Del	18q21.2	ME2
Del	18q21.2	MYO5B
Del	18q21.2	NARS
Del	18q21.2	ATP8B1
Del	18q21.2	PMAIP1
Del	18q21.2	MAPK4
Del	18q21.2	RAB27B
Del	18q21.2	RPL17
Del	18q21.2	TCF4
Del	18q21.2	TNFRSF11A
Del	18q21.2	MBD2
Del	18q21.2	TXNL1
Del	18q21.2	LIPG
Del	18q21.2	ONECUT2
Del	18q21.2	CTIF
Del	18q21.2	ACAA2
Del	18q21.2	MALT1
Del	18q21.2	POLI
Del	18q21.2	PHLPP1
Del	18q21.2	NEDD4L
Del	18q21.2	WDR7
Del	18q21.2	PIGN
Del	18q21.2	SNORD58B
Del	18q21.2	SNORD58A
Del	18q21.2	CDH20
Del	18q21.2	RAX
Del	18q21.2	CXXC1
Del	18q21.2	ST8SIA3
Del	18q21.2	MEX3C
Del	18q21.2	DYM
Del	18q21.2	ZCCHC2
Del	18q21.2	ZNF532
Del	18q21.2	ELAC1
Del	18q21.2	KIAA1468
Del	18q21.2	CCDC68
Del	18q21.2	MRO
Del	18q21.2	SEC11C
Del	18q21.2	ALPK2
Del	18q21.2	STARD6
Del	18q21.2	CCBE1
Del	18q21.2	C18orf54
Del	18q21.2	ZBTB7C
Del	18q21.2	SKA1
Del	18q21.2	CCDC11
Del	18q21.2	RNF152
Del	18q21.2	C18orf26
Del	18q21.2	BOD1P
Del	18q21.2	CPLX4
Del	18q21.2	LOC390858
Del	18q21.2	MIR122
Del	18q21.2	C18orf32
Del	18q21.2	SCARNA17
Del	18q21.2	SNORA37
Del	18q21.2	SNORD58C
Del	18q21.2	LOC100287225
Del	18q21.2	MIR1539
Del	18q21.2	MIR4320
Del	18q21.2	LOC100505474
Del	18q21.2	LOC100505549
Del	18q21.2	RPL17-C18ORF32
Del	18q21.2	MIR4529
Del	18q21.2	MIR3591
Del	18q21.2	MIR4743
Del	18q21.2	MIR4744
Del	1p13.1	hsa-mir-4257
Del	1p13.1	hsa-mir-3118-3
Del	1p13.1	hsa-mir-3118-2
Del	1p13.1	hsa-mir-3118-1
Del	1p13.1	hsa-mir-942
Del	1p13.1	hsa-mir-320b-1
Del	1p13.1	hsa-mir-4256
Del	1p13.1	hsa-mir-197
Del	1p13.1	hsa-mir-553
Del	1p13.1	hsa-mir-137
Del	1p13.1	hsa-mir-760
Del	1p13.1	hsa-mir-186
Del	1p13.1	hsa-mir-1262
Del	1p13.1	hsa-mir-3117
Del	1p13.1	hsa-mir-101-1
Del	1p13.1	hsa-mir-3116-2
Del	1p13.1	hsa-mir-761
Del	1p13.1	ABCA4
Del	1p13.1	ACADM
Del	1p13.1	ADORA3
Del	1p13.1	AGL
Del	1p13.1	AK4
Del	1p13.1	ALX3
Del	1p13.1	AMPD1
Del	1p13.1	AMPD2
Del	1p13.1	AMY1A
Del	1p13.1	AMY1B
Del	1p13.1	AMY1C
Del	1p13.1	AMY2A
Del	1p13.1	AMY2B
Del	1p13.1	RHOC
Del	1p13.1	ATP1A1
Del	1p13.1	ATP5F1
Del	1p13.1	ATP6V0B
Del	1p13.1	BCL9
Del	1p13.1	BRDT
Del	1p13.1	C8A
Del	1p13.1	C8B
Del	1p13.1	CAPZA1
Del	1p13.1	CASQ2
Del	1p13.1	CD2
Del	1p13.1	CD53
Del	1p13.1	CD58
Del	1p13.1	CDC20
Del	1p13.1	CDKN2C
Del	1p13.1	CHI3L2
Del	1p13.1	CLCA1
Del	1p13.1	PLK3
Del	1p13.1	CNN3
Del	1p13.1	COL11A1
Del	1p13.1	CPT2
Del	1p13.1	CRYZ
Del	1p13.1	CSF1
Del	1p13.1	CTBS
Del	1p13.1	CTH
Del	1p13.1	CYP2J2
Del	1p13.1	CYP4A11
Del	1p13.1	CYP4B1
Del	1p13.1	DAB1
Del	1p13.1	DBT
Del	1p13.1	GADD45A
Del	1p13.1	DHCR24
Del	1p13.1	DIO1
Del	1p13.1	DPH2
Del	1p13.1	DPYD
Del	1p13.1	DR1
Del	1p13.1	ECM1
Del	1p13.1	S1PR1
Del	1p13.1	CELSR2
Del	1p13.1	ELAVL4
Del	1p13.1	EPS15
Del	1p13.1	EXTL2
Del	1p13.1	F3
Del	1p13.1	FAAH
Del	1p13.1	FCGR1A
Del	1p13.1	FCGR1B
Del	1p13.1	FOXE3
Del	1p13.1	FOXD2
Del	1p13.1	FMO5
Del	1p13.1	GBP1
Del	1p13.1	GBP2
Del	1p13.1	GBP3
Del	1p13.1	GFI1
Del	1p13.1	GJA5
Del	1p13.1	GJA8
Del	1p13.1	GCLM
Del	1p13.1	GNAI3
Del	1p13.1	GNAT2
Del	1p13.1	GNG5
Del	1p13.1	GPX7
Del	1p13.1	GSTM1
Del	1p13.1	GSTM2
Del	1p13.1	GSTM3
Del	1p13.1	GSTM4
Del	1p13.1	GSTM5
Del	1p13.1	GTF2B
Del	1p13.1	HMGCS2
Del	1p13.1	HSD3B1
Del	1p13.1	HSD3B2
Del	1p13.1	IGSF3
Del	1p13.1	CYR61
Del	1p13.1	IL12RB2
Del	1p13.1	IPP
Del	1p13.1	JAK1
Del	1p13.1	JUN
Del	1p13.1	KCNA2
Del	1p13.1	KCNA3
Del	1p13.1	KCNA10
Del	1p13.1	KCNC4
Del	1p13.1	KCND3
Del	1p13.1	LEPR
Del	1p13.1	TACSTD2
Del	1p13.1	MAGOH
Del	1p13.1	MOV10
Del	1p13.1	MSH4
Del	1p13.1	MUTYH
Del	1p13.1	NASP
Del	1p13.1	NFIA
Del	1p13.1	NGF
Del	1p13.1	NHLH2
Del	1p13.1	NOTCH2
Del	1p13.1	NRAS
Del	1p13.1	NRD1
Del	1p13.1	ROR1
Del	1p13.1	ORC1
Del	1p13.1	OVGP1
Del	1p13.1	PRDX1
Del	1p13.1	PDE4B
Del	1p13.1	PDZK1
Del	1p13.1	PGM1
Del	1p13.1	PIN1P1
Del	1p13.1	PRKAA2
Del	1p13.1	PRKAB2
Del	1p13.1	PRKACB
Del	1p13.1	PKN2
Del	1p13.1	PSMA5
Del	1p13.1	PTGER3
Del	1p13.1	PTGFR
Del	1p13.1	PTGFRN
Del	1p13.1	PTPRF
Del	1p13.1	ABCD3
Del	1p13.1	RAB3B
Del	1p13.1	RABGGTB
Del	1p13.1	RAP1A
Del	1p13.1	SNORD21
Del	1p13.1	RPE65
Del	1p13.1	RPL5
Del	1p13.1	RPS8
Del	1p13.1	SORT1
Del	1p13.1	SARS
Del	1p13.1	SCP2
Del	1p13.1	ST3GAL3
Del	1p13.1	STIL
Del	1p13.1	SLC1A7
Del	1p13.1	SLC6A9
Del	1p13.1	SLC16A1
Del	1p13.1	STXBP3
Del	1p13.1	SYCP1
Del	1p13.1	TAF13
Del	1p13.1	TAL1
Del	1p13.1	TBX15
Del	1p13.1	TGFBR3
Del	1p13.1	TSHB
Del	1p13.1	TTC4
Del	1p13.1	UQCRH
Del	1p13.1	UROD
Del	1p13.1	USP1
Del	1p13.1	VCAM1
Del	1p13.1	WNT2B
Del	1p13.1	LRP8
Del	1p13.1	BSND
Del	1p13.1	CSDE1
Del	1p13.1	EVI5
Del	1p13.1	CDC7
Del	1p13.1	HIST2H2AA3
Del	1p13.1	HIST2H2AC
Del	1p13.1	HIST2H2BE
Del	1p13.1	HIST2H4A
Del	1p13.1	BCAR3
Del	1p13.1	RAD54L
Del	1p13.1	TTF2
Del	1p13.1	PIK3R3
Del	1p13.1	ITGA10
Del	1p13.1	LMO4
Del	1p13.1	CDC14A
Del	1p13.1	MKNK1
Del	1p13.1	PPAP2B
Del	1p13.1	RTCD1
Del	1p13.1	PTCH2
Del	1p13.1	B4GALT2
Del	1p13.1	FPGT
Del	1p13.1	PEX11B
Del	1p13.1	FUBP1
Del	1p13.1	EIF2B3
Del	1p13.1	BCL10
Del	1p13.1	ARTN
Del	1p13.1	DIRAS3
Del	1p13.1	SLC16A4
Del	1p13.1	PRPF3
Del	1p13.1	SRSF11
Del	1p13.1	ZFYVE9
Del	1p13.1	CD101
Del	1p13.1	SEP15
Del	1p13.1	ZRANB2
Del	1p13.1	ARHGAP29
Del	1p13.1	TMEM59
Del	1p13.1	SEC22B
Del	1p13.1	CHD1L
Del	1p13.1	CLCA3P
Del	1p13.1	CLCA2
Del	1p13.1	HS2ST1
Del	1p13.1	PDE4DIP
Del	1p13.1	IPO13
Del	1p13.1	KDM4A
Del	1p13.1	KIAA0494
Del	1p13.1	DNAJC6
Del	1p13.1	LRIG2
Del	1p13.1	LPPR4
Del	1p13.1	SV2A
Del	1p13.1	RBM8A
Del	1p13.1	INSL5
Del	1p13.1	PIGK
Del	1p13.1	TSPAN2
Del	1p13.1	TSPAN1
Del	1p13.1	PDZK1IP1
Del	1p13.1	INADL
Del	1p13.1	SF3B4
Del	1p13.1	BCAS2
Del	1p13.1	AKR1A1
Del	1p13.1	WARS2
Del	1p13.1	CEPT1
Del	1p13.1	PIAS3
Del	1p13.1	TESK2
Del	1p13.1	VAV3
Del	1p13.1	LRRC41
Del	1p13.1	HBXIP
Del	1p13.1	IFI44
Del	1p13.1	POLR3C
Del	1p13.1	TXNIP
Del	1p13.1	AP4B1
Del	1p13.1	PHTF1
Del	1p13.1	AHCYL1
Del	1p13.1	WDR3
Del	1p13.1	MTMR11
Del	1p13.1	MAN1A2
Del	1p13.1	IFI44L
Del	1p13.1	KIF2C
Del	1p13.1	DNAJB4
Del	1p13.1	ADAM30
Del	1p13.1	FAF1
Del	1p13.1	CD160
Del	1p13.1	GLMN
Del	1p13.1	HHLA3
Del	1p13.1	DDX20
Del	1p13.1	VPS45
Del	1p13.1	CLCA4
Del	1p13.1	MTF2
Del	1p13.1	NTNG1
Del	1p13.1	WDR47
Del	1p13.1	TTC39A
Del	1p13.1	USP33
Del	1p13.1	MAST2
Del	1p13.1	CLCC1
Del	1p13.1	SLC35D1
Del	1p13.1	RPRD2
Del	1p13.1	LPHN2
Del	1p13.1	KIAA1107
Del	1p13.1	ZCCHC11
Del	1p13.1	SZT2
Del	1p13.1	USP24
Del	1p13.1	ITGB3BP
Del	1p13.1	SLC35A3
Del	1p13.1	LRRC8B
Del	1p13.1	LPAR3
Del	1p13.1	DDAH1
Del	1p13.1	CA14
Del	1p13.1	SSBP3
Del	1p13.1	NBPF14
Del	1p13.1	RWDD3
Del	1p13.1	PARS2
Del	1p13.1	MMACHC
Del	1p13.1	ZZZ3
Del	1p13.1	ACOT11
Del	1p13.1	SERBP1
Del	1p13.1	PTPN22
Del	1p13.1	PHGDH
Del	1p13.1	AK5
Del	1p13.1	SNORA66
Del	1p13.1	SNORD45B
Del	1p13.1	SNORD45A
Del	1p13.1	SNORD55
Del	1p13.1	RNF11
Del	1p13.1	FOXD3
Del	1p13.1	CHIA
Del	1p13.1	RNF115
Del	1p13.1	ANGPTL3
Del	1p13.1	GPSM2
Del	1p13.1	ALG6
Del	1p13.1	SLC25A24
Del	1p13.1	DNTTIP2
Del	1p13.1	TMED5
Del	1p13.1	BOLA1
Del	1p13.1	TXNDC12
Del	1p13.1	TNNI3K
Del	1p13.1	SH3GLB1
Del	1p13.1	APH1A
Del	1p13.1	PLEKHO1
Del	1p13.1	HAO2
Del	1p13.1	ACP6
Del	1p13.1	TMEM69
Del	1p13.1	MRPL37
Del	1p13.1	HOOK1
Del	1p13.1	SNX7
Del	1p13.1	GPR89B
Del	1p13.1	TRIM33
Del	1p13.1	DPH5
Del	1p13.1	HSPB11
Del	1p13.1	CMPK1
Del	1p13.1	GPR88
Del	1p13.1	YIPF1
Del	1p13.1	MRPS21
Del	1p13.1	CCDC76
Del	1p13.1	ADAMTSL4
Del	1p13.1	SPATA6
Del	1p13.1	L1TD1
Del	1p13.1	RSBN1
Del	1p13.1	ZNHIT6
Del	1p13.1	LEPROT
Del	1p13.1	GIPC2
Del	1p13.1	GDAP2
Del	1p13.1	FAM46C
Del	1p13.1	PALMD
Del	1p13.1	FNBP1L
Del	1p13.1	ST7L
Del	1p13.1	C1orf123
Del	1p13.1	TTC22
Del	1p13.1	PRPF38B
Del	1p13.1	LRRC8D
Del	1p13.1	PRMT6
Del	1p13.1	RNF220
Del	1p13.1	RAVER2
Del	1p13.1	ECHDC2
Del	1p13.1	FGGY
Del	1p13.1	MCOLN3
Del	1p13.1	SLC22A15
Del	1p13.1	RNPC3
Del	1p13.1	POMGNT1
Del	1p13.1	LRRC40
Del	1p13.1	DEPDC1
Del	1p13.1	TMEM48
Del	1p13.1	LRIF1
Del	1p13.1	CTTNBP2NL
Del	1p13.1	FAM212B
Del	1p13.1	DMAP1
Del	1p13.1	GNG12
Del	1p13.1	CCBL2
Del	1p13.1	TMEM167B
Del	1p13.1	OLFML3
Del	1p13.1	OTUD7B
Del	1p13.1	FAM91A2
Del	1p13.1	AMIGO1
Del	1p13.1	ODF2L
Del	1p13.1	KIAA1324
