Gene	TUSON_p_value_TSG	TUSON_q_value_TSG	TSG_Probability_LASSO	Chromosome	TSG_Score	TSG_Rank	TUSON_p_value_OG	TUSON_q_value_OG	OG_Probability_LASSO	Chromosome	OG_Score	OG_Rank
RUNX1	1.47E-19	1.01E-16	0.991319539	21	15.99567863	27	1	1	0.251213358	21	0	18469
RPL22	4.26E-19	2.84E-16	0.998961337	1	15.54668166	28	1	1	0.187614359	1	0	18609
STAG2	1.46E-17	9.42E-15	0.975587255	X	14.0259491	29	1	1	0.228101949	X	0	18518
FAT1	5.00E-17	3.11E-14	0.976997175	4	13.50723961	30	1	1	0.213500019	4	0	18554
NOTCH1	6.32E-17	3.81E-14	0.978529545	9	13.41907502	31	1	1	0.264386977	9	0	18452
MAP2K4	9.26E-17	5.40E-14	0.992692139	17	13.26760624	32	1	1	0.264578391	17	0	18451
BAP1	7.84E-16	4.44E-13	0.989877252	3	12.35261703	33	1	1	0.229031843	3	0	18514
RNF43	2.02E-15	1.11E-12	0.925278914	17	11.95467702	34	1	1	0.30819476	17	0	18409
ARHGAP35	2.23E-14	1.19E-11	0.976616904	19	10.92445304	35	1	1	0.211653007	19	0	18560
ZC3H13	3.09E-14	1.60E-11	0.971579754	13	10.79588002	36	1	1	0.216550561	13	0	18545
RASA1	1.93E-13	9.74E-11	0.99020511	5	10.01144104	37	1	1	0.212268759	5	0	18557
STK11	3.09E-13	1.52E-10	0.995866931	19	9.818156412	38	1	1	0.187875069	19	0	18608
CDKN1A	4.90E-13	2.35E-10	0.62948613	6	9.628932138	39	1	1	0.221914834	6	0	18530
EP300	9.33E-13	4.36E-10	0.908485666	22	9.360513511	40	1	1	0.282372943	22	0	18432
CDKN1B	1.23E-12	5.62E-10	0.992173455	12	9.250263684	41	1	1	0.195626971	12	0	18591
ARID1B	2.74E-12	1.22E-09	0.943650098	6	8.913640169	42	1	1	0.21676065	6	0	18543
B2M	2.12E-11	9.20E-09	0.986882184	15	8.036212173	43	1	1	0.278731897	15	0	18437
KDM5C	5.22E-11	2.22E-08	0.970761472	X	7.653647026	44	1	1	0.221737871	X	0	18531
IL32	6.41E-11	2.66E-08	0.981316004	16	7.575118363	45	1	1	0.189121015	16	0	18606
FUBP1	7.55E-11	3.07E-08	0.978641784	1	7.512861625	46	1	1	0.286512244	1	0	18428
TGFBR2	1.90E-10	7.56E-08	0.983672588	3	7.121478204	47	1	1	0.235338687	3	0	18504
KANSL1	3.66E-10	1.42E-07	0.949939319	17	6.847711656	48	1	1	0.236186367	17	0	18500
BCOR	7.17E-10	2.73E-07	0.898030504	X	6.563837353	49	1	1	0.355902875	X	0	18369
GPS2	3.02E-09	1.13E-06	0.98202202	17	5.946921557	50	1	1	0.246819714	17	0	18480
SMARCA4	3.83E-09	1.40E-06	0.82896604	19	5.853871964	51	1	1	0.479811398	19	0	18315
LARP4B	5.92E-09	2.13E-06	0.937429868	10	5.671620397	52	1	1	0.279400968	10	0	18435
NSD1	8.35E-09	2.94E-06	0.90552866	5	5.53165267	53	1	1	0.274172231	5	0	18447
HLA-A	1.12E-08	3.88E-06	0.973643384	6	5.411168274	54	1	1	0.244791794	6	0	18485
CRIPAK	1.44E-08	4.90E-06	0.924266798	4	5.30980392	55	1	1	0.244659311	4	0	18486
AOAH	1.50E-08	5.00E-06	0.954678004	7	5.301029996	56	1	1	0.256760098	7	0	18463
CREBBP	2.01E-08	6.60E-06	0.936810641	16	5.180456064	57	1	1	0.325484079	16	0	18399
TNRC6B	2.34E-08	7.53E-06	0.871573561	22	5.123205024	58	1	1	0.100258124	22	0	18677
ACVR1B	2.64E-08	8.37E-06	0.952246767	12	5.077274542	59	1	1	0.163189434	12	0	18638
ACVR2A	2.98E-08	9.14E-06	0.993333101	2	5.039053804	60	1	1	0.180807246	2	0	18619
DNMT3A	2.97E-08	9.14E-06	0.643231195	2	5.039053804	61	1	1	0.312651501	2	0	18407
RERE	3.11E-08	9.37E-06	0.947945624	1	5.028260409	62	1	1	0.101204591	1	0	18676
ASXL1	3.27E-08	9.70E-06	0.861275786	20	5.013228266	63	1	1	0.30443875	20	0	18410
NCOR1	3.96E-08	1.15E-05	0.933401605	17	4.93930216	64	1	1	0.235924258	17	0	18503
USP28	5.61E-08	1.61E-05	0.943267399	11	4.793174124	65	1	1	0.258648795	11	0	18460
THRAP3	5.86E-08	1.66E-05	0.756096785	1	4.779891912	66	1	1	0.444170054	1	0	18331
MEN1	6.87E-08	1.91E-05	0.982550123	11	4.718966633	67	1	1	0.225014069	11	0	18525
TBX3	7.70E-08	2.12E-05	0.920461354	12	4.673664139	68	1	1	0.221064806	12	0	18535
ZFP36L2	8.72E-08	2.36E-05	0.808317728	2	4.627087997	69	1	1	0.339861036	2	0	18384
ID3	1.42E-07	3.78E-05	0.951831704	1	4.4225082	70	1	1	0.39004915	1	0	18357
SMAD2	2.61E-07	6.86E-05	0.981921991	18	4.163675884	71	1	1	0.216328746	18	0	18546
NOTCH2	2.76E-07	7.17E-05	0.827342455	1	4.144480844	72	1	1	0.340719155	1	0	18381
TBL1XR1	2.81E-07	7.19E-05	0.677113515	3	4.14327111	73	1	1	0.540874389	3	0	18300
SMARCB1	3.27E-07	8.15E-05	0.972244112	22	4.088842391	74	1	1	0.24901855	22	0	18473
ZFP36L1	3.24E-07	8.15E-05	0.933714778	14	4.088842391	75	1	1	0.204425923	14	0	18573
AJUBA	4.59E-07	0.000111395	0.977188238	14	3.953134302	76	1	1	0.201728375	14	0	18580
RBMX	4.57E-07	0.000111395	0.963873092	X	3.953134302	77	1	1	0.24640538	X	0	18481
TET2	4.67E-07	0.000111954	0.908375334	4	3.950960385	78	1	1	0.197139261	4	0	18586
CDK12	4.84E-07	0.000114408	0.626764919	17	3.941543606	79	1	1	0.506453003	17	0	18307
ELF3	4.98E-07	0.000116325	0.852910078	1	3.934326939	80	1	1	0.402139935	1	0	18351
WT1	5.76E-07	0.000132855	0.60435675	11	3.876622096	81	1	1	0.2910669	11	0	18424
KEAP1	5.93E-07	0.000135105	0.682518473	19	3.869328578	82	1	1	0.433222422	19	0	18341
PLEKHA6	6.39E-07	0.000143699	0.490440036	1	3.842546254	83	1	1	0.633901206	1	0	18290
HLA-B	7.60E-07	0.000168956	0.969580354	6	3.772226381	84	1	1	0.207707293	6	0	18566
NF2	8.61E-07	0.000189198	0.986388834	22	3.723083459	85	1	1	0.220171425	22	0	18536
RBM10	9.22E-07	0.000200219	0.970375013	X	3.698494712	86	1	1	0.203789829	X	0	18575
CHD8	9.71E-07	0.000208545	0.846365163	14	3.680800218	87	1	1	0.26394307	14	0	18454
ZC3H18	1.97E-06	0.000418209	0.976463305	16	3.378606625	88	1	1	0.225436879	16	0	18524
CEBPA	2.59E-06	0.000543869	0.803650795	19	3.264505695	89	1	1	0.260454666	19	0	18457
DDX3X	2.63E-06	0.000545064	0.784335969	X	3.263552501	90	1	1	0.246307556	X	0	18482
MYO6	2.85E-06	0.00058553	0.939673043	6	3.232450849	91	1	1	0.239510428	6	0	18496
ZNF318	3.54E-06	0.00071785	0.875348361	6	3.143966295	92	1	1	0.294855916	6	0	18419
MBD6	3.87E-06	0.000776882	0.926017681	12	3.109644941	93	1	1	0.228651742	12	0	18516
COL4A2	3.94E-06	0.000783449	0.758245256	13	3.105989269	94	1	1	0.241611191	13	0	18492
TRIP12	4.64E-06	0.000910673	0.890771581	2	3.040637539	95	1	1	0.238076951	2	0	18497
KMT2B	4.68E-06	0.000910673	0.786798143	19	3.040637539	96	1	1	0.397078889	19	0	18353
CCAR1	6.39E-06	0.001230053	0.958335257	10	2.910076175	97	1	1	0.206795041	10	0	18568
NAA25	7.19E-06	0.001369491	0.907436318	12	2.863440817	98	1	1	0.221108585	12	0	18533
MLLT4	7.78E-06	0.001468573	0.784668377	6	2.833104461	99	1	1	0.130059933	6	0	18663
PHF6	1.15E-05	0.002148163	0.687107478	X	2.667932768	100	1	1	0.36376656	X	0	18363
TCF12	1.18E-05	0.002178801	0.929031241	15	2.661782434	101	1	1	0.215043929	15	0	18548
KMT2A	1.19E-05	0.002178801	0.638710005	11	2.661782434	102	1	1	0.382438487	11	0	18359
DNER	1.39E-05	0.00251692	0.790306239	2	2.599130588	103	1	1	0.170577747	2	0	18629
MGA	1.52E-05	0.002733573	0.927772116	15	2.563269324	104	1	1	0.199992426	15	0	18583
CYLD	1.54E-05	0.002747536	0.914887658	16	2.561056608	105	1	1	0.219439108	16	0	18538
TMCO2	1.93E-05	0.003403985	0.909498199	1	2.468012362	106	1	1	0.31663652	1	0	18404
CCDC88A	2.53E-05	0.004304063	0.84725357	2	2.36612138	107	1	1	0.14043418	2	0	18653
TP53BP1	2.53E-05	0.004304063	0.828868692	15	2.36612138	108	1	1	0.128411167	15	0	18665
GIGYF2	2.49E-05	0.004304063	0.769878957	2	2.36612138	109	1	1	0.278759415	2	0	18436
HS6ST1	2.49E-05	0.004304063	0.538346677	2	2.36612138	110	1	1	0.449535178	2	0	18328
EIF2AK3	2.87E-05	0.004824458	0.446943901	2	2.31655147	111	1	1	0.22735879	2	0	18521
USP9X	3.48E-05	0.005808763	0.85880636	X	2.235916343	112	1	1	0.170973044	X	0	18628
GSE1	4.12E-05	0.006814916	0.908939548	16	2.166539493	113	1	1	0.217944283	16	0	18542
JMJD1C	4.33E-05	0.007090965	0.43130175	10	2.149294658	114	1	1	0.251822049	10	0	18468
CBFB	4.68E-05	0.007601946	0.867773915	16	2.11907522	115	1	1	0.277216587	16	0	18439
FANCM	4.76E-05	0.00765933	0.588625802	14	2.115809219	116	1	1	0.246899105	14	0	18479
IWS1	4.98E-05	0.007951745	0.936817201	2	2.099537556	117	1	1	0.142752079	2	0	18652
FOXA1	5.39E-05	0.008536741	0.625659083	14	2.068707895	118	1	1	0.567789202	14	0	18296
ZNF292	6.08E-05	0.00954303	0.77067536	6	2.020313711	119	1	1	0.202794536	6	0	18577
ZNRF3	6.13E-05	0.009547731	0.905468824	22	2.020099825	120	1	1	0.275162931	22	0	18444
BRCA1	6.27E-05	0.009679157	0.790358464	17	2.014162466	121	1	1	0.16535511	17	0	18633
TCF7L2	6.46E-05	0.00983752	0.93454222	10	2.007114372	122	1	1	0.231197194	10	0	18512
CHD2	6.48E-05	0.00983752	0.850802658	15	2.007114372	123	1	1	0.329963514	15	0	18390
SOX9	6.53E-05	0.00983752	0.798961186	17	2.007114372	124	1	1	0.381304962	17	0	18360
WDR33	6.93E-05	0.010362261	0.883363392	2	1.984545473	125	1	1	0.206806004	2	0	18567
EMG1	7.05E-05	0.010458501	0.892802957	12	1.980530558	126	1	1	0.286374103	12	0	18429
MTFR1L	7.30E-05	0.010740094	0.964320503	1	1.968991918	127	1	1	0.179490019	1	0	18621
TRAF3	8.53E-05	0.012445592	0.90129325	14	1.90498444	128	1	1	0.216678159	14	0	18544
SIN3A	8.95E-05	0.01277051	0.778596911	15	1.893791759	129	1	1	0.22146543	15	0	18532
AMER1	8.85E-05	0.01277051	0.77024094	X	1.893791759	130	1	1	0.24869597	X	0	18474
SOX21	8.96E-05	0.01277051	0.562882916	13	1.893791759	131	1	1	0.241094698	13	0	18494
CCDC144NL	9.66E-05	0.01367472	0.928621439	17	1.864081557	132	1	1	0.187605537	17	0	18610
LUC7L3	0.00010003	0.01404855	0.876415039	17	1.852368498	133	1	1	0.301349976	17	0	18413
RPL5	0.000103513	0.014429267	0.943353196	1	1.84075573	134	1	1	0.247891671	1	0	18478
AMBRA1	0.000108233	0.014975411	0.786739291	11	1.82462125	135	1	1	0.330547987	11	0	18388
CSNK2A1	0.00010946	0.015033876	0.772698924	20	1.822929036	136	1	1	0.319344453	20	0	18402
ZMYM4	0.000111686	0.015227643	0.890145164	1	1.817367313	137	1	1	0.25904685	1	0	18459
FAS	0.000115615	0.015536495	0.868311268	10	1.80864695	138	1	1	0.143230681	10	0	18650
AXIN1	0.000115029	0.015536495	0.620988622	16	1.80864695	139	1	1	0.415219671	16	0	18346
INPPL1	0.000120068	0.016019584	0.769100459	11	1.795348766	140	1	1	0.469777724	11	0	18319
EPHA2	0.000121516	0.01609789	0.850820618	1	1.793231045	141	1	1	0.185676941	1	0	18613
HERC1	0.000128312	0.016878514	0.690826838	15	1.772665792	142	1	1	0.171859491	15	0	18625
DACH1	0.000138146	0.018044925	0.664909946	13	1.743644919	143	1	1	0.165833422	13	0	18632
PTCH1	0.000141167	0.018311561	0.844911324	9	1.737274632	144	1	1	0.214546916	9	0	18551
CTDNEP1	0.000143896	0.018409873	0.92483217	17	1.734949207	145	1	1	0.212321994	17	0	18556
CNOT3	0.000143589	0.018409873	0.606182886	19	1.734949207	146	1	1	0.579933983	19	0	18295
EXO5	0.000153301	0.019479687	0.769158352	1	1.710418026	147	1	1	0.22106976	1	0	18534
ATAD2	0.000164007	0.020699199	0.346047418	8	1.68404646	148	1	1	0.805101097	8	0	18282
RGS12	0.000165805	0.020785675	0.365639507	4	1.682235868	149	1	1	0.431730919	4	0	18342
SPRED1	0.000170767	0.021265081	0.870196769	15	1.672332959	150	1	1	0.211767174	15	0	18559
PLAC4	0.00017294	0.021392105	0.95833303	21	1.669746478	151	1	1	0.201666462	21	0	18581
AMOT	0.000174078	0.021392105	0.906597624	X	1.669746478	152	1	1	0.19497674	X	0	18593
ARHGAP5	0.000191283	0.023352744	0.697538319	14	1.631662082	153	1	1	0.399119819	14	0	18352
DENND6A	0.000193001	0.023409472	0.855727341	3	1.630608382	154	1	1	0.209568363	3	0	18564
RUFY2	0.000197881	0.02384659	0.851408766	10	1.622573715	155	1	1	0.15499039	10	0	18645
ZMYM3	0.000208513	0.024966818	0.49071102	X	1.602636805	156	1	1	0.240371197	X	0	18495
MED23	0.00021331	0.025378478	0.874495549	6	1.595534427	157	1	1	0.235050789	6	0	18505
ASXL2	0.0002411	0.028503247	0.776761806	2	1.545105664	158	1	1	0.301172666	2	0	18415
RAD21	0.000252903	0.029710498	0.287650284	8	1.527090069	159	1	1	0.696088757	8	0	18285
GGCT	0.000270979	0.031635053	0.85292944	7	1.499831434	160	1	1	0.253555581	7	0	18464
HNF1A	0.0002938	0.034086291	0.96022838	12	1.467420253	161	1	1	0.23154645	12	0	18511
LIMCH1	0.00030511	0.035179911	0.941986925	4	1.453705264	162	1	1	0.142771498	4	0	18651
CTNND1	0.000319297	0.036589866	0.801251487	11	1.436639181	163	1	1	0.202351766	11	0	18579
RBM26	0.000322936	0.036781255	0.709248726	13	1.434373456	164	1	1	0.191814615	13	0	18601
HDAC2	0.000326142	0.036921302	0.946242413	6	1.432722992	165	1	1	0.116557698	6	0	18670
MBD1	0.000338355	0.03807308	0.833888652	18	1.419381989	166	1	1	0.157121894	18	0	18644
STX7	0.000341212	0.03809365	0.825696988	6	1.419147413	167	1	1	0.150131869	6	0	18647
THUMPD3	0.000342616	0.03809365	0.812123366	3	1.419147413	168	1	1	0.227924932	3	0	18519
CPEB2	0.000353253	0.039043819	0.74947791	4	1.408447709	169	1	1	0.110408358	4	0	18672
MYO1B	0.000365919	0.040205855	0.780064556	2	1.395710698	170	1	1	0.18965306	2	0	18604
PHACTR4	0.000369986	0.040360971	0.912538437	1	1.394038394	171	1	1	0.186149401	1	0	18611
HMCN1	0.000371652	0.040360971	0.299578596	1	1.394038394	172	0.000672472	0.086628313	0.668745577	1	1.062340143	115
BRCA2	0.000384957	0.04132532	0.774253001	13	1.383783775	173	1	1	0.325730941	13	0	18398
TBC1D10C	0.000382988	0.04132532	0.676323363	11	1.383783775	174	1	1	0.359296619	11	0	18366
NUP98	0.000404371	0.043161428	0.512032879	11	1.364904195	175	1	1	0.133498498	11	0	18657
SPATA6	0.000409049	0.043412608	0.730135989	1	1.362384123	176	1	1	0.455593645	1	0	18327
AFF4	0.000423474	0.044689643	0.224104711	5	1.349793115	177	1	1	0.525195659	5	0	18305
IDH2	0.000433791	0.045521226	0.394360686	15	1.34178605	178	1.10E-22	2.06E-19	0.791538729	15	18.68613278	7
EPB41L4A	0.000440636	0.045981257	0.24463808	5	1.33741916	179	1	1	0.551087418	5	0	18298
ANKRD46	0.000446616	0.046346359	0.646185816	8	1.333984379	180	1	1	0.461433951	8	0	18322
ANO3	0.000449606	0.046398815	0.590612634	11	1.333493111	181	1	1	0.250971989	11	0	18471
RBBP6	0.000466431	0.04762657	0.80826134	16	1.322150695	182	1	1	0.164958251	16	0	18634
NEK9	0.000466602	0.04762657	0.724323484	14	1.322150695	183	1	1	0.198275393	14	0	18585
BAX	0.00047345	0.047803094	0.86196214	19	1.320543993	184	1	1	0.275764355	19	0	18442
SMARCA1	0.000471112	0.047803094	0.52011947	X	1.320543993	185	1	1	0.354068206	X	0	18371
PNISR	0.000496479	0.049858745	0.910887477	6	1.302258657	186	1	1	0.154636543	6	0	18646
WAC	0.00050496	0.050439316	0.867223052	10	1.297230811	187	1	1	0.208877697	10	0	18565
INO80	0.000513781	0.050777356	0.780260251	15	1.294329917	188	1	1	0.128335043	15	0	18666
C2CD5	0.000513676	0.050777356	0.499714318	12	1.294329917	189	1	1	0.681795737	12	0	18287
CUL3	0.000518198	0.05094435	0.856454189	2	1.292903975	190	0.008297731	0.313276559	0.158286878	2	0.5040721	440
RIMS2	0.000528179	0.051653697	0.26617415	8	1.286898589	191	0.002254448	0.177063951	0.752188536	8	0.751869849	198
PSIP1	0.000557158	0.054203912	0.769570785	9	1.265969368	192	1	1	0.433713373	9	0	18339
DUSP16	0.000564344	0.054618547	0.786831261	12	1.262659857	193	1	1	0.349466984	12	0	18375
UPF3B	0.000570645	0.054943674	0.927234332	X	1.260082303	194	1	1	0.249787348	X	0	18472
ATG5	0.00057613	0.055187364	0.771711269	6	1.258160349	195	1	1	0.196138678	6	0	18589
CSDE1	0.000593579	0.055997307	0.728473948	1	1.251832858	196	1	1	0.30120086	1	0	18414
SEC22A	0.000591744	0.055997307	0.712667451	3	1.251832858	197	1	1	0.258635342	3	0	18461
SFPQ	0.000591507	0.055997307	0.630463843	1	1.251832858	198	1	1	0.36757939	1	0	18362
PRRC2C	0.000598462	0.056174271	0.57925873	1	1.250462555	199	1	1	0.361989945	1	0	18364
HLA-DRB1	0.000611922	0.05715047	0.902096953	6	1.242980194	200	1	1	0.219053436	6	0	18539
SESTD1	0.000618626	0.057489135	0.655179811	2	1.240414226	201	1	1	0.345379794	2	0	18377
CD58	0.000635597	0.058773849	0.959600008	1	1.230815867	202	1	1	0.190875188	1	0	18603
ZNF319	0.000655142	0.060282781	0.857631107	16	1.219806721	203	1	1	0.136033254	16	0	18655
PTPRK	0.000660423	0.06047079	0.8938272	6	1.218454358	204	1	1	0.166563782	6	0	18630
CHD3	0.000683064	0.062238825	0.546993329	17	1.205938615	205	1	1	0.3289921	17	0	18393
RPL18	0.000692208	0.062765749	0.935461305	19	1.202277284	206	1	1	0.185873038	19	0	18612
PPM1D	0.000724228	0.065351913	0.821438139	17	1.184741695	207	1	1	0.350177259	17	0	18374
BRE	0.000732854	0.065812433	0.841870889	2	1.181692054	208	1	1	0.220151872	2	0	18537
SPCS1	0.000736976	0.06586595	0.817126793	3	1.18133904	209	1	1	0.101467127	3	0	18675
SPSB2	0.000743946	0.066172249	0.851749269	12	1.179324105	210	1	1	0.277104248	12	0	18440
TMPO	0.000756303	0.066952493	0.802836473	12	1.174233247	211	1	1	0.163705896	12	0	18636
ZNF750	0.000768566	0.067399302	0.663548641	17	1.171344601	212	1	1	0.48841533	17	0	18312
TMEM30A	0.000772369	0.067416287	0.946749515	6	1.17123517	213	1	1	0.27032256	6	0	18450
SPRED2	0.000778243	0.067612988	0.657058615	2	1.169969871	214	1	1	0.236838731	2	0	18499
RXRB	0.000784135	0.06780951	0.663707957	6	1.168709394	215	1	1	0.195112533	6	0	18592
BRWD3	0.00079674	0.068582044	0.442228925	X	1.163789575	216	0.001121106	0.116683356	0.301157219	X	0.932991088	147
PCDH7	0.000810341	0.069432825	0.626465837	4	1.158435164	217	1	1	0.131347459	4	0	18662
ZBTB18	0.000819188	0.069870381	0.720160263	1	1.155706889	218	1	1	0.443011096	1	0	18333
DEPDC5	0.000831315	0.070582449	0.679129882	22	1.151303277	219	1	1	0.129417665	22	0	18664
BTBD7	0.000857322	0.072461149	0.366211568	14	1.139894784	220	1	1	0.434679713	14	0	18338
BCL10	0.000861405	0.072478301	0.914968325	1	1.139791996	221	1	1	0.203867978	1	0	18574
GNPTAB	0.000867598	0.072672052	0.840763256	12	1.138632577	222	1	1	0.26377529	12	0	18455
PLEKHM3	0.000891073	0.074305186	0.848467927	2	1.128980874	223	1	1	0.210341525	2	0	18562
TAOK1	0.000895801	0.074367368	0.726652759	17	1.128617589	224	1	1	0.274946728	17	0	18445
DIP2C	0.000907683	0.075020364	0.588474235	10	1.124820833	225	1	1	0.354480047	10	0	18370
TTC18	0.000924216	0.075386121	0.919228415	10	1.122708603	226	1	1	0.251116027	10	0	18470
ADAMTS19	0.000922008	0.075386121	0.603680835	5	1.122708603	227	0.023267221	0.452641885	0.184214909	5	0.344245261	877
NFATC4	0.000920633	0.075386121	0.582245289	14	1.122708603	228	1	1	0.189486764	14	0	18605
CERK	0.000939768	0.076321388	0.878584352	22	1.11735374	229	1	1	0.194608756	22	0	18595
IFNGR2	0.000983035	0.079489686	0.48197153	21	1.099689219	230	1	1	0.353452911	21	0	18372
SRSF11	0.001013767	0.081621327	0.870953342	1	1.088196349	231	0.699979002	0.996579628	0.101801835	1	0.001487995	18265
MKRN1	0.001021094	0.081858438	0.774105125	7	1.086936547	232	1	1	0.447394844	7	0	18329
TYRP1	0.001036372	0.082728187	0.77681471	9	1.082346493	233	1	1	0.289500843	9	0	18425
VPS13A	0.001132905	0.090049109	0.630483136	9	1.04552058	234	1	1	0.148859396	9	0	18649
PRKRA	0.001147256	0.090803389	0.941519496	2	1.041897942	235	1	1	0.261461894	2	0	18456
NCOR2	0.00118003	0.09300326	0.728257853	12	1.031501828	236	1	1	0.184533706	12	0	18614
DAAM1	0.001223648	0.096035809	0.38576189	14	1.017566801	237	0.00583238	0.267968724	0.384860112	14	0.571915892	357
PUS7	0.001263556	0.098752999	0.683124735	7	1.005449707	238	1	1	0.299397807	7	0	18416
BTG3	0.001270639	0.098892758	0.517980218	21	1.004835511	239	1	1	0.445562326	21	0	18330
PRPF40A	0.001277929	0.098923131	0.886799899	2	1.004702146	240	1	1	0.082866508	2	0	18679
NIPBL	0.001281621	0.098923131	0.641306751	5	1.004702146	241	1	1	0.518186513	5	0	18306
SLC23A2	0.001294886	0.099535713	0.349974797	20	1.002021068	242	1	1	0.462804247	20	0	18321
CDC27	0.001310736	0.10034116	0.591675203	17	0.998520883	243	1	1	0.535983936	17	0	18302
KCNT2	0.00132539	0.101048802	0.636900817	1	0.995468831	244	1	1	0.476458476	1	0	18317
MOAP1	0.001340812	0.101809076	0.667784274	14	0.992213504	245	1	1	0.243493052	14	0	18489
GAPVD1	0.001366215	0.103317954	0.76864401	9	0.985824203	246	0.035194401	0.51436772	0.120305137	9	0.288726294	1183
RBM15	0.001375026	0.103564956	0.598124822	1	0.984787175	247	1	1	0.275346243	1	0	18443
SMC4	0.001384555	0.103863879	0.316376749	3	0.983535462	248	0.019645199	0.424222741	0.672366273	3	0.372406054	784
SCRN3	0.001425141	0.106480826	0.837531953	2	0.972728589	249	1	1	0.243777892	2	0	18488
UBR5	0.001464532	0.108988023	0.384036203	8	0.962621225	250	0.005793715	0.267968724	0.654064347	8	0.571915892	355
RNF111	0.001523466	0.112923881	0.796062755	15	0.947214204	251	1	1	0.105845373	15	0	18673
WDR47	0.001564787	0.115528286	0.711733736	1	0.93731167	252	1	1	0.214340051	1	0	18552
DOPEY1	0.001589687	0.116904556	0.58523058	6	0.932168563	253	1	1	0.193281453	6	0	18598
WBP1	0.001694385	0.124115357	0.674314889	2	0.906174479	254	1	1	0.20338508	2	0	18576
TCEB3	0.001721216	0.125099618	0.783070165	1	0.902744016	255	1	1	0.133320793	1	0	18658
MAGED1	0.001718053	0.125099618	0.636080738	X	0.902744016	256	1	1	0.227842916	X	0	18520
ZNF234	0.001775544	0.128095677	0.828278716	19	0.892465527	257	1	1	0.303206366	19	0	18412
GLTSCR1	0.001776154	0.128095677	0.791088698	19	0.892465527	258	1	1	0.196099358	19	0	18590
FAM58A	0.001792147	0.128751972	0.713011314	X	0.89024611	259	1	1	0.281284587	X	0	18434
KIAA0907	0.001836244	0.131414594	0.077888247	1	0.881356402	260	1	1	0.849866002	1	0	18280
BRD7	0.001848325	0.131774316	0.28992323	16	0.880169229	261	1	1	0.343079332	16	0	18379
PPP3CC	0.001859349	0.132056218	0.867493195	8	0.879241145	262	1	1	0.171796785	8	0	18626
FOSL2	0.001894957	0.134075395	0.649358112	2	0.872650915	263	1	1	0.166170076	2	0	18631
KBTBD7	0.001904461	0.134239362	0.475473986	13	0.872120121	264	1	1	0.494309487	13	0	18310
